path,valence,arousal,dominance
audio\audio_train\80_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\81_fear.wav,-0.64,0.6,-0.43
audio\audio_train\82_happiness.wav,0.81,0.51,0.46
audio\audio_train\83_happiness.wav,0.81,0.51,0.46
audio\audio_train\84_disgust.wav,-0.6,0.35,0.11
audio\audio_train\85_surprise.wav,0.4,0.67,-0.13
audio\audio_train\86_happiness.wav,0.81,0.51,0.46
audio\audio_train\87_neutral.wav,0.0,0.0,0.0
audio\audio_train\89_happiness.wav,0.81,0.51,0.46
audio\audio_train\90_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\92_fear.wav,-0.64,0.6,-0.43
audio\audio_train\93_fear.wav,-0.64,0.6,-0.43
audio\audio_train\94_anger.wav,-0.51,0.59,0.25
audio\audio_train\95_neutral.wav,0.0,0.0,0.0
audio\audio_train\96_anger.wav,-0.51,0.59,0.25
audio\audio_train\98_fear.wav,-0.64,0.6,-0.43
audio\audio_train\99_neutral.wav,0.0,0.0,0.0
audio\audio_train\100_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\101_anger.wav,-0.51,0.59,0.25
audio\audio_train\102_disgust.wav,-0.6,0.35,0.11
audio\audio_train\103_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\104_neutral.wav,0.0,0.0,0.0
audio\audio_train\105_surprise.wav,0.4,0.67,-0.13
audio\audio_train\106_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\107_neutral.wav,0.0,0.0,0.0
audio\audio_train\108_happiness.wav,0.81,0.51,0.46
audio\audio_train\109_surprise.wav,0.4,0.67,-0.13
audio\audio_train\110_happiness.wav,0.81,0.51,0.46
audio\audio_train\111_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\112_anger.wav,-0.51,0.59,0.25
audio\audio_train\113_surprise.wav,0.4,0.67,-0.13
audio\audio_train\114_neutral.wav,0.0,0.0,0.0
audio\audio_train\115_neutral.wav,0.0,0.0,0.0
audio\audio_train\116_fear.wav,-0.64,0.6,-0.43
audio\audio_train\117_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\118_anger.wav,-0.51,0.59,0.25
audio\audio_train\120_neutral.wav,0.0,0.0,0.0
audio\audio_train\121_happiness.wav,0.81,0.51,0.46
audio\audio_train\122_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\123_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\124_disgust.wav,-0.6,0.35,0.11
audio\audio_train\125_disgust.wav,-0.6,0.35,0.11
audio\audio_train\126_neutral.wav,0.0,0.0,0.0
audio\audio_train\127_fear.wav,-0.64,0.6,-0.43
audio\audio_train\128_surprise.wav,0.4,0.67,-0.13
audio\audio_train\129_neutral.wav,0.0,0.0,0.0
audio\audio_train\130_neutral.wav,0.0,0.0,0.0
audio\audio_train\132_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\133_neutral.wav,0.0,0.0,0.0
audio\audio_train\134_neutral.wav,0.0,0.0,0.0
audio\audio_train\136_fear.wav,-0.64,0.6,-0.43
audio\audio_train\137_neutral.wav,0.0,0.0,0.0
audio\audio_train\138_disgust.wav,-0.6,0.35,0.11
audio\audio_train\139_neutral.wav,0.0,0.0,0.0
audio\audio_train\140_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\141_neutral.wav,0.0,0.0,0.0
audio\audio_train\142_happiness.wav,0.81,0.51,0.46
audio\audio_train\143_anger.wav,-0.51,0.59,0.25
audio\audio_train\144_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\145_anger.wav,-0.51,0.59,0.25
audio\audio_train\146_neutral.wav,0.0,0.0,0.0
audio\audio_train\147_neutral.wav,0.0,0.0,0.0
audio\audio_train\148_anger.wav,-0.51,0.59,0.25
audio\audio_train\149_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\150_fear.wav,-0.64,0.6,-0.43
audio\audio_train\151_surprise.wav,0.4,0.67,-0.13
audio\audio_train\152_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\153_fear.wav,-0.64,0.6,-0.43
audio\audio_train\154_happiness.wav,0.81,0.51,0.46
audio\audio_train\155_surprise.wav,0.4,0.67,-0.13
audio\audio_train\156_neutral.wav,0.0,0.0,0.0
audio\audio_train\157_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\158_neutral.wav,0.0,0.0,0.0
audio\audio_train\159_fear.wav,-0.64,0.6,-0.43
audio\audio_train\160_neutral.wav,0.0,0.0,0.0
audio\audio_train\161_fear.wav,-0.64,0.6,-0.43
audio\audio_train\162_anger.wav,-0.51,0.59,0.25
audio\audio_train\163_neutral.wav,0.0,0.0,0.0
audio\audio_train\165_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\166_happiness.wav,0.81,0.51,0.46
audio\audio_train\167_happiness.wav,0.81,0.51,0.46
audio\audio_train\168_surprise.wav,0.4,0.67,-0.13
audio\audio_train\169_fear.wav,-0.64,0.6,-0.43
audio\audio_train\170_anger.wav,-0.51,0.59,0.25
audio\audio_train\171_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\172_neutral.wav,0.0,0.0,0.0
audio\audio_train\173_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\174_anger.wav,-0.51,0.59,0.25
audio\audio_train\175_surprise.wav,0.4,0.67,-0.13
audio\audio_train\176_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\177_disgust.wav,-0.6,0.35,0.11
audio\audio_train\178_disgust.wav,-0.6,0.35,0.11
audio\audio_train\179_neutral.wav,0.0,0.0,0.0
audio\audio_train\180_anger.wav,-0.51,0.59,0.25
audio\audio_train\181_neutral.wav,0.0,0.0,0.0
audio\audio_train\182_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\183_happiness.wav,0.81,0.51,0.46
audio\audio_train\185_happiness.wav,0.81,0.51,0.46
audio\audio_train\186_anger.wav,-0.51,0.59,0.25
audio\audio_train\187_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\188_anger.wav,-0.51,0.59,0.25
audio\audio_train\189_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\190_fear.wav,-0.64,0.6,-0.43
audio\audio_train\191_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\192_surprise.wav,0.4,0.67,-0.13
audio\audio_train\193_disgust.wav,-0.6,0.35,0.11
audio\audio_train\194_fear.wav,-0.64,0.6,-0.43
audio\audio_train\195_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\196_anger.wav,-0.51,0.59,0.25
audio\audio_train\197_happiness.wav,0.81,0.51,0.46
audio\audio_train\198_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\199_neutral.wav,0.0,0.0,0.0
audio\audio_train\200_neutral.wav,0.0,0.0,0.0
audio\audio_train\201_happiness.wav,0.81,0.51,0.46
audio\audio_train\202_happiness.wav,0.81,0.51,0.46
audio\audio_train\204_fear.wav,-0.64,0.6,-0.43
audio\audio_train\205_happiness.wav,0.81,0.51,0.46
audio\audio_train\206_anger.wav,-0.51,0.59,0.25
audio\audio_train\207_disgust.wav,-0.6,0.35,0.11
audio\audio_train\208_fear.wav,-0.64,0.6,-0.43
audio\audio_train\209_surprise.wav,0.4,0.67,-0.13
audio\audio_train\210_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\211_neutral.wav,0.0,0.0,0.0
audio\audio_train\212_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\213_disgust.wav,-0.6,0.35,0.11
audio\audio_train\214_fear.wav,-0.64,0.6,-0.43
audio\audio_train\215_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\216_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\217_surprise.wav,0.4,0.67,-0.13
audio\audio_train\218_neutral.wav,0.0,0.0,0.0
audio\audio_train\219_neutral.wav,0.0,0.0,0.0
audio\audio_train\220_anger.wav,-0.51,0.59,0.25
audio\audio_train\221_happiness.wav,0.81,0.51,0.46
audio\audio_train\222_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\223_anger.wav,-0.51,0.59,0.25
audio\audio_train\224_anger.wav,-0.51,0.59,0.25
audio\audio_train\225_fear.wav,-0.64,0.6,-0.43
audio\audio_train\226_disgust.wav,-0.6,0.35,0.11
audio\audio_train\227_neutral.wav,0.0,0.0,0.0
audio\audio_train\228_fear.wav,-0.64,0.6,-0.43
audio\audio_train\229_neutral.wav,0.0,0.0,0.0
audio\audio_train\230_anger.wav,-0.51,0.59,0.25
audio\audio_train\231_happiness.wav,0.81,0.51,0.46
audio\audio_train\232_anger.wav,-0.51,0.59,0.25
audio\audio_train\233_surprise.wav,0.4,0.67,-0.13
audio\audio_train\234_disgust.wav,-0.6,0.35,0.11
audio\audio_train\235_disgust.wav,-0.6,0.35,0.11
audio\audio_train\236_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\237_anger.wav,-0.51,0.59,0.25
audio\audio_train\238_anger.wav,-0.51,0.59,0.25
audio\audio_train\239_neutral.wav,0.0,0.0,0.0
audio\audio_train\240_anger.wav,-0.51,0.59,0.25
audio\audio_train\241_neutral.wav,0.0,0.0,0.0
audio\audio_train\242_disgust.wav,-0.6,0.35,0.11
audio\audio_train\243_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\244_anger.wav,-0.51,0.59,0.25
audio\audio_train\245_disgust.wav,-0.6,0.35,0.11
audio\audio_train\246_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\247_anger.wav,-0.51,0.59,0.25
audio\audio_train\248_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\249_neutral.wav,0.0,0.0,0.0
audio\audio_train\250_fear.wav,-0.64,0.6,-0.43
audio\audio_train\251_happiness.wav,0.81,0.51,0.46
audio\audio_train\252_surprise.wav,0.4,0.67,-0.13
audio\audio_train\253_neutral.wav,0.0,0.0,0.0
audio\audio_train\254_anger.wav,-0.51,0.59,0.25
audio\audio_train\255_fear.wav,-0.64,0.6,-0.43
audio\audio_train\256_anger.wav,-0.51,0.59,0.25
audio\audio_train\257_disgust.wav,-0.6,0.35,0.11
audio\audio_train\258_fear.wav,-0.64,0.6,-0.43
audio\audio_train\259_fear.wav,-0.64,0.6,-0.43
audio\audio_train\260_neutral.wav,0.0,0.0,0.0
audio\audio_train\261_fear.wav,-0.64,0.6,-0.43
audio\audio_train\262_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\263_neutral.wav,0.0,0.0,0.0
audio\audio_train\264_disgust.wav,-0.6,0.35,0.11
audio\audio_train\265_disgust.wav,-0.6,0.35,0.11
audio\audio_train\266_anger.wav,-0.51,0.59,0.25
audio\audio_train\267_happiness.wav,0.81,0.51,0.46
audio\audio_train\268_anger.wav,-0.51,0.59,0.25
audio\audio_train\269_fear.wav,-0.64,0.6,-0.43
audio\audio_train\270_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\271_happiness.wav,0.81,0.51,0.46
audio\audio_train\272_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\273_anger.wav,-0.51,0.59,0.25
audio\audio_train\274_anger.wav,-0.51,0.59,0.25
audio\audio_train\275_fear.wav,-0.64,0.6,-0.43
audio\audio_train\276_happiness.wav,0.81,0.51,0.46
audio\audio_train\277_fear.wav,-0.64,0.6,-0.43
audio\audio_train\278_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\280_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\281_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\282_surprise.wav,0.4,0.67,-0.13
audio\audio_train\283_anger.wav,-0.51,0.59,0.25
audio\audio_train\284_happiness.wav,0.81,0.51,0.46
audio\audio_train\285_disgust.wav,-0.6,0.35,0.11
audio\audio_train\286_fear.wav,-0.64,0.6,-0.43
audio\audio_train\287_neutral.wav,0.0,0.0,0.0
audio\audio_train\288_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\289_surprise.wav,0.4,0.67,-0.13
audio\audio_train\290_anger.wav,-0.51,0.59,0.25
audio\audio_train\291_anger.wav,-0.51,0.59,0.25
audio\audio_train\292_surprise.wav,0.4,0.67,-0.13
audio\audio_train\293_disgust.wav,-0.6,0.35,0.11
audio\audio_train\294_neutral.wav,0.0,0.0,0.0
audio\audio_train\295_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\296_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\297_disgust.wav,-0.6,0.35,0.11
audio\audio_train\298_disgust.wav,-0.6,0.35,0.11
audio\audio_train\299_fear.wav,-0.64,0.6,-0.43
audio\audio_train\300_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\301_neutral.wav,0.0,0.0,0.0
audio\audio_train\302_anger.wav,-0.51,0.59,0.25
audio\audio_train\303_fear.wav,-0.64,0.6,-0.43
audio\audio_train\304_disgust.wav,-0.6,0.35,0.11
audio\audio_train\305_happiness.wav,0.81,0.51,0.46
audio\audio_train\306_anger.wav,-0.51,0.59,0.25
audio\audio_train\307_happiness.wav,0.81,0.51,0.46
audio\audio_train\308_happiness.wav,0.81,0.51,0.46
audio\audio_train\309_fear.wav,-0.64,0.6,-0.43
audio\audio_train\311_happiness.wav,0.81,0.51,0.46
audio\audio_train\312_anger.wav,-0.51,0.59,0.25
audio\audio_train\313_anger.wav,-0.51,0.59,0.25
audio\audio_train\314_fear.wav,-0.64,0.6,-0.43
audio\audio_train\315_anger.wav,-0.51,0.59,0.25
audio\audio_train\316_disgust.wav,-0.6,0.35,0.11
audio\audio_train\317_anger.wav,-0.51,0.59,0.25
audio\audio_train\318_anxiety.wav,-0.35,0.55,-0.45
audio\audio_train\319_neutral.wav,0.0,0.0,0.0
audio\audio_train\320_anger.wav,-0.51,0.59,0.25
audio\audio_train\321_neutral.wav,0.0,0.0,0.0
audio\audio_train\322_happiness.wav,0.81,0.51,0.46
audio\audio_train\323_fear.wav,-0.64,0.6,-0.43
audio\audio_train\324_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\325_fear.wav,-0.64,0.6,-0.43
audio\audio_train\326_disgust.wav,-0.6,0.35,0.11
audio\audio_train\327_disgust.wav,-0.6,0.35,0.11
audio\audio_train\328_neutral.wav,0.0,0.0,0.0
audio\audio_train\329_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\330_neutral.wav,0.0,0.0,0.0
audio\audio_train\331_anger.wav,-0.51,0.59,0.25
audio\audio_train\332_disgust.wav,-0.6,0.35,0.11
audio\audio_train\333_happiness.wav,0.81,0.51,0.46
audio\audio_train\334_anger.wav,-0.51,0.59,0.25
audio\audio_train\335_happiness.wav,0.81,0.51,0.46
audio\audio_train\336_anger.wav,-0.51,0.59,0.25
audio\audio_train\337_anxiety.wav,-0.35,0.55,-0.45
audio\audio_train\338_anger.wav,-0.51,0.59,0.25
audio\audio_train\339_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\341_fear.wav,-0.64,0.6,-0.43
audio\audio_train\342_happiness.wav,0.81,0.51,0.46
audio\audio_train\343_neutral.wav,0.0,0.0,0.0
audio\audio_train\344_neutral.wav,0.0,0.0,0.0
audio\audio_train\345_neutral.wav,0.0,0.0,0.0
audio\audio_train\346_neutral.wav,0.0,0.0,0.0
audio\audio_train\347_surprise.wav,0.4,0.67,-0.13
audio\audio_train\348_disgust.wav,-0.6,0.35,0.11
audio\audio_train\349_neutral.wav,0.0,0.0,0.0
audio\audio_train\350_disgust.wav,-0.6,0.35,0.11
audio\audio_train\351_happiness.wav,0.81,0.51,0.46
audio\audio_train\352_disgust.wav,-0.6,0.35,0.11
audio\audio_train\353_disgust.wav,-0.6,0.35,0.11
audio\audio_train\354_anger.wav,-0.51,0.59,0.25
audio\audio_train\355_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\356_anger.wav,-0.51,0.59,0.25
audio\audio_train\357_fear.wav,-0.64,0.6,-0.43
audio\audio_train\358_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\359_fear.wav,-0.64,0.6,-0.43
audio\audio_train\360_anger.wav,-0.51,0.59,0.25
audio\audio_train\362_fear.wav,-0.64,0.6,-0.43
audio\audio_train\363_fear.wav,-0.64,0.6,-0.43
audio\audio_train\364_happiness.wav,0.81,0.51,0.46
audio\audio_train\365_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\366_fear.wav,-0.64,0.6,-0.43
audio\audio_train\367_anger.wav,-0.51,0.59,0.25
audio\audio_train\368_anger.wav,-0.51,0.59,0.25
audio\audio_train\369_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\370_disgust.wav,-0.6,0.35,0.11
audio\audio_train\372_neutral.wav,0.0,0.0,0.0
audio\audio_train\375_disgust.wav,-0.6,0.35,0.11
audio\audio_train\376_anger.wav,-0.51,0.59,0.25
audio\audio_train\377_anger.wav,-0.51,0.59,0.25
audio\audio_train\378_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\379_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\380_disgust.wav,-0.6,0.35,0.11
audio\audio_train\381_neutral.wav,0.0,0.0,0.0
audio\audio_train\382_fear.wav,-0.64,0.6,-0.43
audio\audio_train\383_happiness.wav,0.81,0.51,0.46
audio\audio_train\385_disgust.wav,-0.6,0.35,0.11
audio\audio_train\386_disgust.wav,-0.6,0.35,0.11
audio\audio_train\387_fear.wav,-0.64,0.6,-0.43
audio\audio_train\388_fear.wav,-0.64,0.6,-0.43
audio\audio_train\389_anger.wav,-0.51,0.59,0.25
audio\audio_train\390_neutral.wav,0.0,0.0,0.0
audio\audio_train\391_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\392_fear.wav,-0.64,0.6,-0.43
audio\audio_train\393_disgust.wav,-0.6,0.35,0.11
audio\audio_train\394_fear.wav,-0.64,0.6,-0.43
audio\audio_train\395_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\396_disgust.wav,-0.6,0.35,0.11
audio\audio_train\397_anger.wav,-0.51,0.59,0.25
audio\audio_train\398_fear.wav,-0.64,0.6,-0.43
audio\audio_train\399_neutral.wav,0.0,0.0,0.0
audio\audio_train\400_disgust.wav,-0.6,0.35,0.11
audio\audio_train\401_happiness.wav,0.81,0.51,0.46
audio\audio_train\403_happiness.wav,0.81,0.51,0.46
audio\audio_train\406_neutral.wav,0.0,0.0,0.0
audio\audio_train\407_neutral.wav,0.0,0.0,0.0
audio\audio_train\408_neutral.wav,0.0,0.0,0.0
audio\audio_train\409_happiness.wav,0.81,0.51,0.46
audio\audio_train\410_neutral.wav,0.0,0.0,0.0
audio\audio_train\412_surprise.wav,0.4,0.67,-0.13
audio\audio_train\413_anger.wav,-0.51,0.59,0.25
audio\audio_train\414_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\415_neutral.wav,0.0,0.0,0.0
audio\audio_train\416_fear.wav,-0.64,0.6,-0.43
audio\audio_train\417_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\418_fear.wav,-0.64,0.6,-0.43
audio\audio_train\419_fear.wav,-0.64,0.6,-0.43
audio\audio_train\420_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\421_surprise.wav,0.4,0.67,-0.13
audio\audio_train\422_neutral.wav,0.0,0.0,0.0
audio\audio_train\423_happiness.wav,0.81,0.51,0.46
audio\audio_train\424_surprise.wav,0.4,0.67,-0.13
audio\audio_train\425_fear.wav,-0.64,0.6,-0.43
audio\audio_train\426_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\427_neutral.wav,0.0,0.0,0.0
audio\audio_train\428_disgust.wav,-0.6,0.35,0.11
audio\audio_train\429_surprise.wav,0.4,0.67,-0.13
audio\audio_train\430_fear.wav,-0.64,0.6,-0.43
audio\audio_train\431_fear.wav,-0.64,0.6,-0.43
audio\audio_train\432_fear.wav,-0.64,0.6,-0.43
audio\audio_train\433_neutral.wav,0.0,0.0,0.0
audio\audio_train\434_surprise.wav,0.4,0.67,-0.13
audio\audio_train\435_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\436_surprise.wav,0.4,0.67,-0.13
audio\audio_train\437_disgust.wav,-0.6,0.35,0.11
audio\audio_train\438_neutral.wav,0.0,0.0,0.0
audio\audio_train\439_anger.wav,-0.51,0.59,0.25
audio\audio_train\440_neutral.wav,0.0,0.0,0.0
audio\audio_train\441_fear.wav,-0.64,0.6,-0.43
audio\audio_train\442_happiness.wav,0.81,0.51,0.46
audio\audio_train\443_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\444_surprise.wav,0.4,0.67,-0.13
audio\audio_train\445_happiness.wav,0.81,0.51,0.46
audio\audio_train\446_happiness.wav,0.81,0.51,0.46
audio\audio_train\447_disgust.wav,-0.6,0.35,0.11
audio\audio_train\448_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\449_anger.wav,-0.51,0.59,0.25
audio\audio_train\450_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\451_neutral.wav,0.0,0.0,0.0
audio\audio_train\452_neutral.wav,0.0,0.0,0.0
audio\audio_train\453_disgust.wav,-0.6,0.35,0.11
audio\audio_train\454_happiness.wav,0.81,0.51,0.46
audio\audio_train\455_neutral.wav,0.0,0.0,0.0
audio\audio_train\456_neutral.wav,0.0,0.0,0.0
audio\audio_train\457_fear.wav,-0.64,0.6,-0.43
audio\audio_train\458_anger.wav,-0.51,0.59,0.25
audio\audio_train\459_happiness.wav,0.81,0.51,0.46
audio\audio_train\460_anger.wav,-0.51,0.59,0.25
audio\audio_train\461_neutral.wav,0.0,0.0,0.0
audio\audio_train\462_surprise.wav,0.4,0.67,-0.13
audio\audio_train\463_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\464_disgust.wav,-0.6,0.35,0.11
audio\audio_train\465_anger.wav,-0.51,0.59,0.25
audio\audio_train\466_fear.wav,-0.64,0.6,-0.43
audio\audio_train\467_happiness.wav,0.81,0.51,0.46
audio\audio_train\468_fear.wav,-0.64,0.6,-0.43
audio\audio_train\469_happiness.wav,0.81,0.51,0.46
audio\audio_train\470_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\471_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\472_anger.wav,-0.51,0.59,0.25
audio\audio_train\473_disgust.wav,-0.6,0.35,0.11
audio\audio_train\475_fear.wav,-0.64,0.6,-0.43
audio\audio_train\476_neutral.wav,0.0,0.0,0.0
audio\audio_train\478_anger.wav,-0.51,0.59,0.25
audio\audio_train\479_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\480_anger.wav,-0.51,0.59,0.25
audio\audio_train\481_neutral.wav,0.0,0.0,0.0
audio\audio_train\482_surprise.wav,0.4,0.67,-0.13
audio\audio_train\483_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\484_anger.wav,-0.51,0.59,0.25
audio\audio_train\485_neutral.wav,0.0,0.0,0.0
audio\audio_train\486_neutral.wav,0.0,0.0,0.0
audio\audio_train\487_anger.wav,-0.51,0.59,0.25
audio\audio_train\489_fear.wav,-0.64,0.6,-0.43
audio\audio_train\490_anger.wav,-0.51,0.59,0.25
audio\audio_train\491_disgust.wav,-0.6,0.35,0.11
audio\audio_train\492_disgust.wav,-0.6,0.35,0.11
audio\audio_train\493_anxiety.wav,-0.35,0.55,-0.45
audio\audio_train\494_happiness.wav,0.81,0.51,0.46
